Code,category_uz,category_ru,category_en,category_uz_cyrillic,date,value
1.0,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,2024-01-01,100.59
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,2024-01-01,100.5
1.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,2024-01-01,98.44
1.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,2024-01-01,98.47
1.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,2024-01-01,100.09
1.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,2024-01-01,99.07
1.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),2024-01-01,98.73
1.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,2024-01-01,100.88
1.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,2024-01-01,100.01
1.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",2024-01-01,100.0
1.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,2024-01-01,98.38
1.1,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,2024-01-01,100.09
1.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,2024-01-01,100.29
1.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,2024-01-01,100.0
1.13,Obinon,Лепешки,Flatbreads,Обинон,2024-01-01,100.0
1.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,2024-01-01,100.0
1.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",2024-01-01,100.0
1.16,"Suxari (qoq non), qarsillama non, galeta","Сухари, хрустящие хлебцы, галеты","Rusks, crispbread, crackers","Сухари (қоқ нон), қарсиллама нон, галета",2024-01-01,100.0
1.17,Pechenye,Печенье,Cookies,Печене,2024-01-01,100.54
1.18,Vafli,Вафли,Wafers,Вафли,2024-01-01,100.0
1.19,Pryaniklar,Пряники,Gingerbread,Пряниклар,2024-01-01,100.0
1.2,Tortlar,Торты,Cakes,Тортлар,2024-01-01,99.64
1.21,Turli xil pirojniylar,Пирожные разных видов,Pastries of various types,Турли хил пирожнийлар,2024-01-01,99.78
1.22,Kekslar,Кексы,Cupcakes,Кекслар,2024-01-01,100.49
1.23,Korjiklar,Коржики,Biscuits,Коржиклар,2024-01-01,100.0
1.24,Chak chak,Чак чак,Chak-chak,Чак чак,2024-01-01,100.0
1.25,"Tayyor nonushtalar shaklidagi boshoqli donlar (""quruq nonushtalar"")","Зерна злаков в виде готовых завтраков (""сухие завтраки"")","Ready-to-eat cereal grains (""breakfast cereals"")","Тайёр нонушталар шаклидаги бошоқли донлар (""қуруқ нонушталар"")",2024-01-01,100.0
1.26,Vermishel,Вермишель,Vermicelli,Вермишел,2024-01-01,99.78
1.27,Ugra (shu jumladan lagʻmon uchun),Лапша (в том числе для лагмана),Noodles (including for lagman),Угра (шу жумладан лағмон учун),2024-01-01,100.0
1.28,"Makaronlar, spagetti","Макароны, спагетти","Pasta, spaghetti","Макаронлар, спагетти",2024-01-01,100.0
1.29,"Shakldor mahsulotlar (chigʻanoqlar, yulduzchalar va shu kabilar)","Фигурные изделия (ракушки, звездочки и аналогичные)","Shaped products (shells, stars and similar)","Шаклдор маҳсулотлар (чиғаноқлар, юлдузчалар ва шу кабилар)",2024-01-01,100.68
1.3,"Chuchvaralar va shu kabi mahsulotlar, xom","Пельмени и аналогичные изделия, сырые","Dumplings and similar products, raw","Чучваралар ва шу каби маҳсулотлар, хом",2024-01-01,100.0
1.31,Tez tayyorlanadigan ugra,Угра быстрого приготовления,Instant noodles,Тез тайёрланадиган угра,2024-01-01,100.0
1.32,Pop-korn,Поп-корн,Popcorn,Поп-корн,2024-01-01,100.09
1.33,Non-bulka mahsulotlarini tayyorlash uchun aralashmalar va xamir,Смеси и тесто для приготовления хлебобулочных изделий,Mixes and dough for bakery products,Нон-булка маҳсулотларини тайёрлаш учун аралашмалар ва хамир,2024-01-01,100.0
1.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),2024-01-01,99.85
1.35,Suyaksiz mol goʻshti,Говядина бескостная,Boneless beef,Суяксиз мол гўшти,2024-01-01,100.58
1.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,2024-01-01,100.07
1.37,Choʻchqa goʻshti,Свинина,Pork,Чўчқа гўшти,2024-01-01,101.63
1.38,Parranda goʻshti (sonlaridan tashqari),Мясо птицы (кроме окорочков),Poultry meat (except legs),Парранда гўшти (сонларидан ташқари),2024-01-01,101.47
1.39,"Tovuq boldiri, son qismlari","Голень куриная, окорочка",Chicken legs/drumsticks,"Товуқ болдири, сон қисмлари",2024-01-01,102.01
1.4,"Qiyma (yogʻli, yarim yogʻli)","Мясной фарш (жирный, полужирный)","Meat mince (fatty, semi-fatty)","Қийма (ёғли, ярим ёғли)",2024-01-01,99.92
1.41,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol va qoʻy jigari","Печень говяжья, баранья, парная, охлажденная или мороженая, сушеная, соленая, в рассоле  или копченая","Beef/lamb liver (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол ва қўй жигари",2024-01-01,100.89
