Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06
1,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,100.59,100.34,100.63,100.87,102.78,99.82,99.7,100.57,101.2,100.88,100.85,100.98,101.02,100.57,100.7,100.64,101.39,99.74
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,100.5,100.2,100.94,100.44,98.01,98.16,98.47,100.41,101.56,101.11,100.95,101.67,100.9,100.49,101.28,100.82,99.21,99.08
01.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,98.44,99.69,101.04,103.13,101.07,100.73,102.73,101.34,101.79,96.41,90.97,98.81,98.1,98.78,97.69,98.46,99.29,100.07
01.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,98.47,99.18,100.77,99.5,100.12,99.25,100.39,100.79,100.97,97.37,94.5,95.32,99.33,96.09,96.97,99.29,99.33,98.78
01.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,100.09,100.11,100.0,100.53,101.69,100.62,99.43,100.36,100.49,97.23,96.23,99.01,99.13,98.08,98.19,99.04,98.99,100.0
01.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,99.07,100.0,100.05,102.25,102.09,100.0,100.83,100.0,100.0,101.33,95.0,100.63,100.0,99.06,100.94,100.26,100.0,101.1
01.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),98.73,99.96,99.97,97.34,98.63,99.39,99.04,99.84,99.41,99.16,96.16,99.6,99.73,100.1,100.65,100.37,100.97,100.25
01.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,100.88,100.63,101.65,99.24,102.02,100.87,100.31,100.05,101.64,100.38,96.4,99.89,100.12,98.9,100.06,101.2,102.6,100.46
01.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,100.01,100.82,100.09,102.3,100.89,100.05,99.05,100.79,101.94,98.93,100.07,98.11,99.7,100.74,99.77,99.69,96.82,100.31
01.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",100.0,100.23,100.17,99.89,100.54,100.62,99.68,99.72,100.85,100.15,100.38,100.25,99.81,99.32,100.27,100.6,101.11,100.12
